array	sample	call status	purity	ploidy	Genome doublings	delta	Coverage for 80% power	Cancer DNA fraction	Subclonal genome fraction	tau	E_CR
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B12_730328	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B12_730328	called	0.86	2	0	0.43	9	0.86	0	1.99207560003174	0
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E07_1301154	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E07_1301154	called	0.66	2	0	0.33	12	0.66	0	2.00267654032755	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D01_831536	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D01_831536	called	0.81	2	0	0.41	10	0.81	0	1.9724550175448	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E08_1376770	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E08_1376770	called	0.72	2	0	0.36	11	0.72	0	1.97683273081218	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_G01_1365286	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_G01_1365286	called	0.74	2	0	0.37	11	0.74	0.01	1.99151350953845	0
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_A12_1320526	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_A12_1320526	called	0.73	2	0	0.36	11	0.73	0	2.00428874096235	0
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E05_1301276	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E05_1301276	called	0.63	3	0	0.24	17	0.72	0	3.00866341818474	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H02_863660	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H02_863660	called	0.71	2	0	0.36	11	0.71	0	1.96896828241465	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D11_1365308	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D11_1365308	called	0.78	2	0	0.39	10	0.78	0.03	1.99678550629683	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D10_831556	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D10_831556	called	0.38	2	0	0.19	23	0.38	0.01	1.97865233432834	0
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_D06_1244720	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_D06_1244720	called	0.66	1.99	0	0.33	12	0.66	0	1.98274957580465	0
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B06_730476	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B06_730476	called	0.79	2	0	0.4	10	0.79	0	1.98233940804968	0
CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_D09_913986	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_D09_913986	called	0.66	2	0	0.33	12	0.66	0	1.98274957580465	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_B02_863648	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_B02_863648	called	0.66	2	0	0.33	12	0.66	0	1.98274957580465	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C10_1376744	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C10_1376744	called	0.66	2	0	0.33	12	0.66	0	1.98274957580465	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E03_831636	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E03_831636	called	0.8	2	0	0.4	10	0.8	0	1.98745802670785	0
FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_D07_777824	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_D07_777824	called	0.54	2	0	0.27	15	0.54	0.05	1.98142020051439	0
