id	filename	md5	size	state
b2355e3f-5a62-405e-91f7-1bc3da78010f	unc.edu.7a5501d0-e090-4288-ad1d-2b7b9b5eb13a.1500875.rsem.genes.normalized_results	c7f4c8cdec2139f84df3ec867bd731f6	433560	live
a346d7b4-cfd8-445a-ae08-1e59332a282a	unc.edu.8501c648-89d2-4dd2-bc90-ef56fea4f459.1501489.rsem.genes.normalized_results	83f9ef0e46ba3cefb25b0bed0b9ca05c	436524	live
5c76f5e0-6ef9-4baf-968e-6fec9d0c8295	unc.edu.4fe13e80-092e-4e27-b92f-4e1f729e390f.2196068.rsem.genes.results	8d548fa852acca10c204068d40e37186	1512004	live
303b2d08-b15d-41ba-a21f-4240d5ccbce2	unc.edu.95832411-6737-427c-a31b-c05eed122861.2209032.rsem.genes.normalized_results	1883bb09f269468af1afa56e5df10e7e	435103	live
35a5f753-5e1f-4963-b413-8010d3b1258a	unc.edu.4f6060d8-e47b-40e6-8700-6769cb5bb969.1501535.rsem.genes.results	d7a11a53f9bfe906ed48933c6c248c56	1520576	live
c52c18f9-7f3e-46be-9b98-03957b9df905	UNCID_1003253.TCGA-CV-7242-01A-11R-2016-07.111118_UNC11-SN627_0167_AD09WDACXX_TAGCTT_L006_2.trimmed.annotated.gene.quantification.txt	db3674539d0cf73b632b4e86cfde8bcb	1016126	live
3da3a65f-976c-4c48-9996-03dfbb3c1f8c	unc.edu.99097576-fce3-48bc-a71b-13dcafea404e.1493084.rsem.genes.results	0488b2fa26cf3c8653533fc1b0f23b7c	1509364	live
865434c4-9618-442d-9005-5d4728b26ff3	unc.edu.b5cfe630-ff73-47f2-9749-cd86b8abd87c.1484596.rsem.genes.normalized_results	a16dcb574407dcfe7c9d152213463c04	434202	live
16f251b1-f3d2-4419-8108-a1d644635e2f	UNCID_840576.TCGA-CR-5243-01A-01R-1514-07.120109_UNC15-SN850_0161_AD0J66ACXX_CGATGT_L005_1.trimmed.annotated.gene.quantification.txt	a042d9a9bfe06b5adef823f1ae599dc8	1000897	live
bab6e0bc-9171-425a-ba0c-f03094fa74c5	unc.edu.a03dc836-1cd6-4121-8bd0-d5a6f5d2320d.1492760.rsem.genes.results	a731a58e955a93c9097f4e2849895135	1521512	live
